,D1,D2
0,"[0.37369207772795215, 0.3655683369077793, 0.23542600896860993, 0.3518454639530873, 0.34105981178551126]","[0.13380909901873328, 0.1374255611543747, 0.107424206254476, 0.37076271186440674, 0.1059322033898305]"
1,"[0.624788922661263, 0.5723339584815365, 0.50837883637733, 0.3967609457295993, 0.3542454789967418]","[0.8568443051201673, 0.5378787878787878, 0.5964623611682436, 0.5502392344497608, 0.3000300030003001]"
2,"[0.8992094861660078, 0.9567448680351907, 0.9146341463414634, 0.506993006993007, 0.6966403162055336]","[0.28792912513842744, 0.2801120448179272, 0.39215686274509803, 0.3052503052503052, 0.4241372662425294]"
3,"[0.3712164477441463, 0.4805843906189928, 0.3654716324399582, 0.28694404591104733, 0.3524550315994166]","[0.3232758620689655, 0.20380434782608695, 0.7523148148148148, 0.4595588235294117, 0.21008403361344538]"
4,"[0.7359813084112148, 0.41536863966770504, 0.8695137820891989, 0.6124671082478903, 0.4715378079864061]","[0.7936507936507936, 0.6024096385542168, 0.0, 1.171875, 0.78125]"
5,"[1.076233183856502, 0.5870362821035466, 0.5873807869639361, 0.6707402278992365, 0.46459015068880544]","[0.1388888888888889, 0.10973936899862825, 0.08948545861297538, 0.12461059190031151, 0.12658227848101267]"
6,"[1.2386706948640482, 1.303863889330577, 1.0277298230470437, 0.7870885673397996, 0.8257804632426989]","[0.16090104585679807, 0.27229407760381213, 0.15616866215512754, 0.06986492780624128, 0.08564087924636027]"
7,"[0.22572231139646867, 0.3840136538188024, 0.4248305320828303, 0.22802379378717777, 0.24644901420394316]","[0.41090613363009887, 0.391644908616188, 0.3065047110909298, 0.5907863875735719, 0.27113878288813015]"
8,"[1.0940775681341721, 1.4003537735849059, 1.595256813417191, 1.5227432866202146, 1.4954974271012007]","[0.08071748878923768, 0.09843596193809473, 0.23396373562097875, 0.08968609865470853, 0.15522593997930323]"
9,"[0.06342494714587738, 0.23255813953488372, 0.4186046511627907, 0.3033367037411527, 0.46511627906976744]","[0.4705882352941177, 0.46247464503042596, 0.20804953560371514, 0.3529411764705882, 0.37546933667083854]"
