,D1,D2
0,"[1.1900655398413247, 0.7375362701134264, 0.9025373219049784, 0.986547085201794, 0.7744345648265393]","[0.2182493615045275, 0.1990241397021058, 0.2666158826890116, 0.22470467385721626, 0.2158618484170131]"
1,"[0.3097686188391675, 0.3364595354582839, 0.195738315377393, 0.24502797402703472, 0.2176536176322341]","[0.1540832049306626, 0.7688828584350973, 0.6395120031483668, 0.7276151343947954, 0.6542699724517907]"
2,"[0.6917960088691795, 0.35629453681710216, 0.4493087557603687, 0.40106951871657753, 0.4863318499682136]","[0.2846790890269151, 0.1965923984272608, 0.20263424518743667, 0.10240655401945724, 0.14765596160945]"
3,"[0.5446623093681917, 0.4325259515570934, 0.41330257593233366, 0.4878048780487805, 0.5672268907563026]","[0.0, 0.1488095238095238, 0.0, 0.25845864661654133, 0.06313131313131314]"
4,"[0.4371419957793185, 0.3823279524214103, 0.30601273674634016, 0.20994175809291613, 0.35977173103961624]","[0.0, 0.41666666666666663, 1.9021739130434785, 0.2336448598130841, 0.13020833333333331]"
5,"[0.29895366218236175, 0.44843049327354256, 0.2914798206278027, 0.28367168584077135, 0.18852700668766587]","[0.7111111111111111, 0.8201058201058201, 0.4946996466431095, 0.6578947368421052, 0.5599999999999999]"
6,"[0.16122472693469675, 0.03674369233281621, 0.20826637526515399, 0.10612260507093962, 0.11877032356264848]","[0.4334477153693336, 1.042983565107459, 0.8112094395280236, 0.344149459193707, 0.42946382092660074]"
7,"[0.5127519172462992, 0.36429073033707865, 0.1884290599483565, 0.3330244410981118, 0.13242375601926162]","[0.3890164192966163, 0.5238250652741515, 0.6275755764572651, 0.6373828904930119, 0.39839740704060506]"
8,"[0.370998516005936, 0.32023541630604124, 0.3646460591462599, 0.31723359022056874, 0.4000000000000001]","[0.3573430493273543, 0.20143401836886404, 0.3269805680119582, 0.4604688957775303, 0.2985228932166811]"
9,"[0.10335917312661498, 0.2616279069767442, 0.19534883720930232, 0.507399577167019, 0.7973421926910299]","[1.0588235294117647, 0.0, nan, 1.411764705882353, 0.0]"
10,"[3.3333333333333335, 0.5882352941176471, 0.31986531986531985, 0.22277227722772278, 0.33434650455927056]","[0.4581151832460733, 0.43116723129042206, 0.5425987624940505, 0.6901475487862923, 0.5377773107425654]"
11,"[0.9227860877180804, 0.9558662879615469, 0.9141059822339079, 0.8424475317765296, 1.3885215551441419]","[0.36966046002190583, 0.591747521057682, 0.28588931999183176, 0.14305242076485364, 0.2575186241147797]"
12,"[0.5681818181818181, 0.9259259259259257, 0.3409090909090909, 0.3068618751848565, 0.3398944805194805]","[0.20704258489530228, 0.24893683227880922, 0.22426116697728715, 0.20629140355634756, 0.24882687784759067]"
13,"[0.49668874172185434, 0.4013646397752358, 0.6438557763061076, 0.29723105803827504, 0.27251948660845104]","[0.27260336210813263, 0.2071251035625518, 0.4142502071251036, 0.2036314271169184, 0.08204567209079722]"
14,"[0.46439628482972134, 1.165371809100999, 0.48922539312754804, 0.6122448979591837, 0.4842180774748924]","[0.7421150278293136, 0.6651884700665188, 1.4106583072100312, 0.7253384912959382, 0.8522727272727273]"
15,"[0.15339663988312638, 0.2956547707928923, 0.3380987164770949, 0.13860013860013862, 0.18267279136844355]","[2.8548770816812055, 1.5134898003948234, 0.5826983415508741, 0.5510131532172058, 0.8947675549503986]"
16,"[0.16116035455278002, 0.2516074923119933, 0.14246575342465753, 0.07444907683144728, 0.37359900373599003]","[0.45274476513865314, 0.3155680224403928, 0.4826009652019304, 0.23041474654377883, 0.4759386567953464]"
17,"[0.557215537430348, 0.7990606025890706, 0.2203259425054207, 0.2804996634004039, 0.5843716797063652]","[0.7333842627960274, 0.5363847666726265, 1.016535646516671, 0.5749668288367978, 0.5162064825930371]"
18,"[0.2970577140701622, 0.4526593738211996, 0.15843078083741985, 0.24249609311849973, 0.1907375184044974]","[0.6133510840623809, 0.3574496383939705, 0.19748953974895397, 0.3093458129251026, 0.8517632994620441]"
19,"[0.7048646339509799, 0.5971769815418024, 0.3049414373830481, 0.3786644951140065, 0.23410204721057953]","[0.23809523809523808, 0.20408163265306123, 0.2153846153846154, 0.3076923076923077, 0.30486944248412134]"
